food_id,gx,gy,x,y,value,size,fruit_index,hex_id_le,hex_x_le,hex_y_le,binary_packet_hex
769,68,7,20464.7,2277.1,10,87,4,01 03 00 00,66 E1 9F 46,9A 51 0E 45,01 03 00 00 44 00 07 00 66 E1 9F 46 9A 51 0E 45
770,69,7,20947.1,2243.9,10,87,12,02 03 00 00,33 A6 A3 46,66 3E 0C 45,02 03 00 00 45 00 07 00 33 A6 A3 46 66 3E 0C 45
771,70,7,21050,2339,5,62,6,03 03 00 00,00 74 A4 46,00 30 12 45,03 03 00 00 46 00 07 00 00 74 A4 46 00 30 12 45
772,71,7,21349.6,2282,7,72,3,04 03 00 00,33 CB A6 46,00 A0 0E 45,04 03 00 00 47 00 07 00 33 CB A6 46 00 A0 0E 45
773,72,7,21792,2318.6,7,72,5,05 03 00 00,00 40 AA 46,9A E9 10 45,05 03 00 00 48 00 07 00 00 40 AA 46 9A E9 10 45
774,73,7,22002.1,2206.2,10,87,12,06 03 00 00,33 E4 AB 46,33 E3 09 45,06 03 00 00 49 00 07 00 33 E4 AB 46 33 E3 09 45
775,74,7,22409.2,2273.7,5,62,12,07 03 00 00,66 12 AF 46,33 1B 0E 45,07 03 00 00 4A 00 07 00 66 12 AF 46 33 1B 0E 45
776,75,7,22753.4,2201.9,8,77,4,08 03 00 00,CD C2 B1 46,66 9E 09 45,08 03 00 00 4B 00 07 00 CD C2 B1 46 66 9E 09 45
777,76,7,22863.5,2240.1,10,87,1,09 03 00 00,00 9F B2 46,9A 01 0C 45,09 03 00 00 4C 00 07 00 00 9F B2 46 9A 01 0C 45
778,77,7,23287.4,2188.6,7,72,7,0A 03 00 00,CD EE B5 46,9A C9 08 45,0A 03 00 00 4D 00 07 00 CD EE B5 46 9A C9 08 45
779,78,7,23610.8,2336.7,9,82,8,0B 03 00 00,9A 75 B8 46,33 0B 12 45,0B 03 00 00 4E 00 07 00 9A 75 B8 46 33 0B 12 45
780,79,7,23797.8,2184.2,5,62,12,0C 03 00 00,9A EB B9 46,33 83 08 45,0C 03 00 00 4F 00 07 00 9A EB B9 46 33 83 08 45
781,80,7,24233.5,2154.8,8,77,5,0D 03 00 00,00 53 BD 46,CD AC 06 45,0D 03 00 00 50 00 07 00 00 53 BD 46 CD AC 06 45
782,81,7,24380.5,2169.1,10,87,2,0E 03 00 00,00 79 BE 46,9A 91 07 45,0E 03 00 00 51 00 07 00 00 79 BE 46 9A 91 07 45
783,82,7,24680,2332.1,5,62,8,0F 03 00 00,00 D0 C0 46,9A C1 11 45,0F 03 00 00 52 00 07 00 00 D0 C0 46 9A C1 11 45
784,83,7,25023.7,2163.3,6,67,6,10 03 00 00,66 7F C3 46,CD 34 07 45,10 03 00 00 53 00 07 00 66 7F C3 46 CD 34 07 45
785,84,7,25372.4,2309.6,6,67,5,11 03 00 00,CD 38 C6 46,9A 59 10 45,11 03 00 00 54 00 07 00 CD 38 C6 46 9A 59 10 45
786,85,7,25638.2,2261.4,7,72,1,12 03 00 00,66 4C C8 46,66 56 0D 45,12 03 00 00 55 00 07 00 66 4C C8 46 66 56 0D 45
787,86,7,26009.6,2299.7,10,87,5,13 03 00 00,33 33 CB 46,33 BB 0F 45,13 03 00 00 56 00 07 00 33 33 CB 46 33 BB 0F 45
788,87,7,26268.2,2242.5,5,62,1,14 03 00 00,66 38 CD 46,00 28 0C 45,14 03 00 00 57 00 07 00 66 38 CD 46 00 28 0C 45
789,88,7,26533.3,2326.4,10,87,12,15 03 00 00,9A 4A CF 46,66 66 11 45,15 03 00 00 58 00 07 00 9A 4A CF 46 66 66 11 45
790,89,7,26812.4,2269.3,6,67,2,16 03 00 00,CD 78 D1 46,CD D4 0D 45,16 03 00 00 59 00 07 00 CD 78 D1 46 CD D4 0D 45
791,90,7,27229.5,2351.8,10,87,6,17 03 00 00,00 BB D4 46,CD FC 12 45,17 03 00 00 5A 00 07 00 00 BB D4 46 CD FC 12 45
792,91,7,27357.9,2278,9,82,3,18 03 00 00,CD BB D5 46,00 60 0E 45,18 03 00 00 5B 00 07 00 CD BB D5 46 00 60 0E 45
793,92,7,27799.3,2244.7,9,82,6,19 03 00 00,9A 2E D9 46,33 4B 0C 45,19 03 00 00 5C 00 07 00 9A 2E D9 46 33 4B 0C 45
794,93,7,28071.7,2297.5,5,62,0,1A 03 00 00,66 4F DB 46,00 98 0F 45,1A 03 00 00 5D 00 07 00 66 4F DB 46 00 98 0F 45
795,94,7,28442.6,2238.9,5,62,10,1B 03 00 00,33 35 DE 46,66 EE 0B 45,1B 03 00 00 5E 00 07 00 33 35 DE 46 66 EE 0B 45
796,95,7,28687.1,2245.6,7,72,7,1C 03 00 00,33 1E E0 46,9A 59 0C 45,1C 03 00 00 5F 00 07 00 33 1E E0 46 9A 59 0C 45
797,96,7,28982.8,2164.6,9,82,1,1D 03 00 00,9A 6D E2 46,9A 49 07 45,1D 03 00 00 60 00 07 00 9A 6D E2 46 9A 49 07 45
798,97,7,29255.5,2217.5,7,72,1,1E 03 00 00,00 8F E4 46,00 98 0A 45,1E 03 00 00 61 00 07 00 00 8F E4 46 00 98 0A 45
799,98,7,29514.1,2160.3,8,77,6,1F 03 00 00,33 94 E6 46,CD 04 07 45,1F 03 00 00 62 00 07 00 33 94 E6 46 CD 04 07 45
800,99,7,29800,2180.3,7,72,6,20 03 00 00,00 D0 E8 46,CD 44 08 45,20 03 00 00 63 00 07 00 00 D0 E8 46 CD 44 08 45
801,0,8,200,2597.6,5,62,11,21 03 00 00,00 00 48 43,9A 59 22 45,21 03 00 00 00 00 08 00 00 00 48 43 9A 59 22 45
802,1,8,362.4,2535.1,6,67,7,22 03 00 00,33 33 B5 43,9A 71 1E 45,22 03 00 00 01 00 08 00 33 33 B5 43 9A 71 1E 45
803,2,8,846.9,2554.9,9,82,8,23 03 00 00,9A B9 53 44,66 AE 1F 45,23 03 00 00 02 00 08 00 9A B9 53 44 66 AE 1F 45
804,3,8,992,2516.2,9,82,1,24 03 00 00,00 00 78 44,33 43 1D 45,24 03 00 00 03 00 08 00 00 00 78 44 33 43 1D 45
805,4,8,1340.2,2495.4,9,82,1,25 03 00 00,66 86 A7 44,66 F6 1B 45,25 03 00 00 04 00 08 00 66 86 A7 44 66 F6 1B 45
806,5,8,1733.1,2485.8,10,87,9,26 03 00 00,33 A3 D8 44,CD 5C 1B 45,26 03 00 00 05 00 08 00 33 A3 D8 44 CD 5C 1B 45
807,6,8,2058.2,2446.9,7,72,6,27 03 00 00,33 A3 00 45,66 EE 18 45,27 03 00 00 06 00 08 00 33 A3 00 45 66 EE 18 45
808,7,8,2142.4,2467,6,67,10,28 03 00 00,66 E6 05 45,00 30 1A 45,28 03 00 00 07 00 08 00 66 E6 05 45 00 30 1A 45
809,8,8,2556.7,2607.5,6,67,4,29 03 00 00,33 CB 1F 45,00 F8 22 45,29 03 00 00 08 00 08 00 33 CB 1F 45 00 F8 22 45
810,9,8,2855.7,2627.5,6,67,3,2A 03 00 00,33 7B 32 45,00 38 24 45,2A 03 00 00 09 00 08 00 33 7B 32 45 00 38 24 45
811,10,8,3251.6,2456.9,7,72,0,2B 03 00 00,9A 39 4B 45,66 8E 19 45,2B 03 00 00 0A 00 08 00 9A 39 4B 45 66 8E 19 45
812,11,8,3449.4,2621.4,5,62,0,2C 03 00 00,66 96 57 45,66 D6 23 45,2C 03 00 00 0B 00 08 00 66 96 57 45 66 D6 23 45
813,12,8,3765.1,2617.5,6,67,7,2D 03 00 00,9A 51 6B 45,00 98 23 45,2D 03 00 00 0C 00 08 00 9A 51 6B 45 00 98 23 45
814,13,8,4095.7,2578.7,9,82,2,2E 03 00 00,33 FB 7F 45,33 2B 21 45,2E 03 00 00 0D 00 08 00 33 FB 7F 45 33 2B 21 45
815,14,8,4394.8,2598.7,9,82,1,2F 03 00 00,66 56 89 45,33 6B 22 45,2F 03 00 00 0E 00 08 00 66 56 89 45 33 6B 22 45
816,15,8,4574.5,2572.1,10,87,3,30 03 00 00,00 F4 8E 45,9A C1 20 45,30 03 00 00 0F 00 08 00 00 F4 8E 45 9A C1 20 45
817,16,8,4981.9,2509.6,10,87,3,31 03 00 00,33 AF 9B 45,9A D9 1C 45,31 03 00 00 10 00 08 00 33 AF 9B 45 9A D9 1C 45
818,17,8,5240.9,2529.4,7,72,6,32 03 00 00,33 C7 A3 45,66 16 1E 45,32 03 00 00 11 00 08 00 33 C7 A3 45 66 16 1E 45
819,18,8,5611.2,2490.7,6,67,4,33 03 00 00,9A 59 AF 45,33 AB 1B 45,33 03 00 00 12 00 08 00 9A 59 AF 45 33 AB 1B 45
820,19,8,5922.3,2493.8,5,62,2,34 03 00 00,66 12 B9 45,CD DC 1B 45,34 03 00 00 13 00 08 00 66 12 B9 45 CD DC 1B 45
821,20,8,6169.8,2519.5,5,62,12,35 03 00 00,66 CE C0 45,00 78 1D 45,35 03 00 00 14 00 08 00 66 CE C0 45 00 78 1D 45
822,21,8,6500.4,2480.7,7,72,7,36 03 00 00,33 23 CB 45,33 0B 1B 45,36 03 00 00 15 00 08 00 33 23 CB 45 33 0B 1B 45
823,22,8,6852.1,2483.9,5,62,0,37 03 00 00,CD 20 D6 45,66 3E 1B 45,37 03 00 00 16 00 08 00 CD 20 D6 45 66 3E 1B 45
824,23,8,7013.9,2641.3,7,72,1,38 03 00 00,33 2F DB 45,CD 14 25 45,38 03 00 00 17 00 08 00 33 2F DB 45 CD 14 25 45
825,24,8,7278.4,2441.1,10,87,2,39 03 00 00,33 73 E3 45,9A 91 18 45,39 03 00 00 18 00 08 00 33 73 E3 45 9A 91 18 45
826,25,8,7666.1,2651.5,6,67,5,3A 03 00 00,CD 90 EF 45,00 B8 25 45,3A 03 00 00 19 00 08 00 CD 90 EF 45 00 B8 25 45
827,26,8,8043.3,2595.9,5,62,10,3B 03 00 00,66 5A FB 45,66 3E 22 45,3B 03 00 00 1A 00 08 00 66 5A FB 45 66 3E 22 45
828,27,8,8164.3,2592.1,10,87,10,3C 03 00 00,66 22 FF 45,9A 01 22 45,3C 03 00 00 1B 00 08 00 66 22 FF 45 9A 01 22 45
829,28,8,8643.7,2611.9,8,77,6,3D 03 00 00,CD 0E 07 46,66 3E 23 45,3D 03 00 00 1C 00 08 00 CD 0E 07 46 66 3E 23 45
830,29,8,8793.9,2573.2,7,72,4,3E 03 00 00,9A 67 09 46,33 D3 20 45,3E 03 00 00 1D 00 08 00 9A 67 09 46 33 D3 20 45
831,30,8,9259.9,2452.9,9,82,0,3F 03 00 00,9A AF 10 46,66 4E 19 45,3F 03 00 00 1E 00 08 00 9A AF 10 46 66 4E 19 45
832,31,8,9442.2,2610.4,5,62,8,40 03 00 00,CD 88 13 46,66 26 23 45,40 03 00 00 1F 00 08 00 CD 88 13 46 66 26 23 45
833,32,8,9706.7,2630.3,8,77,9,41 03 00 00,CD AA 17 46,CD 64 24 45,41 03 00 00 20 00 08 00 CD AA 17 46 CD 64 24 45
834,33,8,10058.4,2633.5,5,62,2,42 03 00 00,9A 29 1D 46,00 98 24 45,42 03 00 00 21 00 08 00 9A 29 1D 46 00 98 24 45
835,34,8,10403,2594.7,6,67,1,43 03 00 00,00 8C 22 46,33 2B 22 45,43 03 00 00 22 00 08 00 00 8C 22 46 33 2B 22 45
836,35,8,10573.3,2561.1,6,67,8,44 03 00 00,33 35 25 46,9A 11 20 45,44 03 00 00 23 00 08 00 33 35 25 46 9A 11 20 45
837,36,8,10938.5,2522.4,6,67,1,45 03 00 00,00 EA 2A 46,66 A6 1D 45,45 03 00 00 24 00 08 00 00 EA 2A 46 66 A6 1D 45
838,37,8,11249.5,2525.4,5,62,12,46 03 00 00,00 C6 2F 46,66 D6 1D 45,46 03 00 00 25 00 08 00 00 C6 2F 46 66 D6 1D 45
839,38,8,11553.4,2545.5,8,77,10,47 03 00 00,9A 85 34 46,00 18 1F 45,47 03 00 00 26 00 08 00 9A 85 34 46 00 18 1F 45
840,39,8,11916,2482.8,8,77,2,48 03 00 00,00 30 3A 46,CD 2C 1B 45,48 03 00 00 27 00 08 00 00 30 3A 46 CD 2C 1B 45
841,40,8,12180.7,2515.6,9,82,8,49 03 00 00,CD 52 3E 46,9A 39 1D 45,49 03 00 00 28 00 08 00 CD 52 3E 46 9A 39 1D 45
842,41,8,12508.7,2476.7,10,87,7,4A 03 00 00,CD 72 43 46,33 CB 1A 45,4A 03 00 00 29 00 08 00 CD 72 43 46 33 CB 1A 45
843,42,8,12807.8,2496.7,10,87,6,4B 03 00 00,33 1F 48 46,33 0B 1C 45,4B 03 00 00 2A 00 08 00 33 1F 48 46 33 0B 1C 45
844,43,8,13109.1,2492.7,7,72,3,4C 03 00 00,66 D4 4C 46,33 CB 1B 45,4C 03 00 00 2B 00 08 00 66 D4 4C 46 33 CB 1B 45
845,44,8,13307.2,2657.3,6,67,9,4D 03 00 00,CD EC 4F 46,CD 14 26 45,4D 03 00 00 2C 00 08 00 CD EC 4F 46 CD 14 26 45
846,45,8,13674.4,2647.6,8,77,5,4E 03 00 00,9A A9 55 46,9A 79 25 45,4E 03 00 00 2D 00 08 00 9A A9 55 46 9A 79 25 45
847,46,8,14042.1,2584.9,6,67,2,4F 03 00 00,66 68 5B 46,66 8E 21 45,4F 03 00 00 2E 00 08 00 66 68 5B 46 66 8E 21 45
848,47,8,14341.2,2604.9,6,67,1,50 03 00 00,CD 14 60 46,66 CE 22 45,50 03 00 00 2F 00 08 00 CD 14 60 46 66 CE 22 45
849,48,8,14652.3,2607.9,5,62,12,51 03 00 00,33 F1 64 46,66 FE 22 45,51 03 00 00 30 00 08 00 33 F1 64 46 66 FE 22 45
850,49,8,14802.2,2569.2,9,82,4,52 03 00 00,CD 48 67 46,33 93 20 45,52 03 00 00 31 00 08 00 CD 48 67 46 33 93 20 45
851,50,8,15230.1,2594.8,6,67,11,53 03 00 00,66 F8 6D 46,CD 2C 22 45,53 03 00 00 32 00 08 00 66 F8 6D 46 CD 2C 22 45
852,51,8,15363.4,2598.1,9,82,8,54 03 00 00,9A 0D 70 46,9A 61 22 45,54 03 00 00 33 00 08 00 9A 0D 70 46 9A 61 22 45
853,52,8,15691.4,2559.2,10,87,7,55 03 00 00,9A 2D 75 46,33 F3 1F 45,55 03 00 00 34 00 08 00 9A 2D 75 46 33 F3 1F 45
854,53,8,15990.5,2579.2,10,87,6,56 03 00 00,00 DA 79 46,33 33 21 45,56 03 00 00 35 00 08 00 00 DA 79 46 33 33 21 45
855,54,8,16357.9,2516.5,7,72,10,57 03 00 00,9A 97 7F 46,00 48 1D 45,57 03 00 00 36 00 08 00 9A 97 7F 46 00 48 1D 45
856,55,8,16578.6,2490.1,8,77,0,58 03 00 00,33 85 81 46,9A A1 1B 45,58 03 00 00 37 00 08 00 33 85 81 46 9A A1 1B 45
857,56,8,16857.1,2510,8,77,5,59 03 00 00,33 B2 83 46,00 E0 1C 45,59 03 00 00 38 00 08 00 33 B2 83 46 00 E0 1C 45
858,57,8,17187.7,2471.2,5,62,0,5A 03 00 00,66 47 86 46,33 73 1A 45,5A 03 00 00 39 00 08 00 66 47 86 46 33 73 1A 45
859,58,8,17523.9,2467.3,6,67,1,5B 03 00 00,CD E7 88 46,CD 34 1A 45,5B 03 00 00 3A 00 08 00 CD E7 88 46 CD 34 1A 45
860,59,8,17924.3,2478.8,10,87,2,5C 03 00 00,9A 08 8C 46,CD EC 1A 45,5C 03 00 00 3B 00 08 00 9A 08 8C 46 CD EC 1A 45
861,60,8,18139.8,2528.4,7,72,2,5D 03 00 00,9A B7 8D 46,66 06 1E 45,5D 03 00 00 3C 00 08 00 9A B7 8D 46 66 06 1E 45
862,61,8,18399.2,2548.2,5,62,11,5E 03 00 00,66 BE 8F 46,33 43 1F 45,5E 03 00 00 3D 00 08 00 66 BE 8F 46 33 43 1F 45
863,62,8,18855.7,2468.9,10,87,4,5F 03 00 00,66 4F 93 46,66 4E 1A 45,5F 03 00 00 3E 00 08 00 66 4F 93 46 66 4E 1A 45
864,63,8,19117.7,2488.8,10,87,9,60 03 00 00,66 5B 95 46,CD 8C 1B 45,60 03 00 00 3F 00 08 00 66 5B 95 46 CD 8C 1B 45
865,64,8,19262.8,2450.1,10,87,2,61 03 00 00,9A 7D 96 46,9A 21 19 45,61 03 00 00 40 00 08 00 9A 7D 96 46 9A 21 19 45
866,65,8,19615.7,2440.3,8,77,1,62 03 00 00,66 3F 99 46,CD 84 18 45,62 03 00 00 41 00 08 00 66 3F 99 46 CD 84 18 45
867,66,8,20004.8,2639.7,8,77,2,63 03 00 00,9A 49 9C 46,33 FB 24 45,63 03 00 00 42 00 08 00 9A 49 9C 46 33 FB 24 45
868,67,8,20349.5,2600.9,9,82,1,64 03 00 00,00 FB 9E 46,66 8E 22 45,64 03 00 00 43 00 08 00 00 FB 9E 46 66 8E 22 45
869,68,8,20614,2620.7,5,62,2,65 03 00 00,00 0C A1 46,33 CB 23 45,65 03 00 00 44 00 08 00 00 0C A1 46 33 CB 23 45
870,69,8,20796.3,2558.2,7,72,10,66 03 00 00,9A 78 A2 46,33 E3 1F 45,66 03 00 00 45 00 08 00 9A 78 A2 46 33 E3 1F 45
871,70,8,21238.4,2590.9,9,82,11,67 03 00 00,CD EC A5 46,66 EE 21 45,67 03 00 00 46 00 08 00 CD EC A5 46 66 EE 21 45
872,71,8,21542.6,2610.9,7,72,2,68 03 00 00,33 4D A8 46,66 2E 23 45,68 03 00 00 47 00 08 00 33 4D A8 46 66 2E 23 45
873,72,8,21648,2572,5,62,5,69 03 00 00,00 20 A9 46,00 C0 20 45,69 03 00 00 48 00 08 00 00 20 A9 46 00 C0 20 45
874,73,8,22038.5,2551.4,10,87,4,6A 03 00 00,00 2D AC 46,66 76 1F 45,6A 03 00 00 49 00 08 00 00 2D AC 46 66 76 1F 45
875,74,8,22300.4,2571.2,10,87,9,6B 03 00 00,CD 38 AE 46,33 B3 20 45,6B 03 00 00 4A 00 08 00 CD 38 AE 46 33 B3 20 45
876,75,8,22755.2,2502.9,10,87,11,6C 03 00 00,66 C6 B1 46,66 6E 1C 45,6C 03 00 00 4B 00 08 00 66 C6 B1 46 66 6E 1C 45
877,76,8,23018.4,2522.8,8,77,1,6D 03 00 00,CD D4 B3 46,CD AC 1D 45,6D 03 00 00 4C 00 08 00 CD D4 B3 46 CD AC 1D 45
878,77,8,23253.6,2443.5,9,82,9,6E 03 00 00,33 AB B5 46,00 B8 18 45,6E 03 00 00 4D 00 08 00 33 AB B5 46 00 B8 18 45
879,78,8,23532.2,2463.4,9,82,1,6F 03 00 00,66 D8 B7 46,66 F6 19 45,6F 03 00 00 4E 00 08 00 66 D8 B7 46 66 F6 19 45
880,79,8,23796.7,2483.2,5,62,2,70 03 00 00,66 E9 B9 46,33 33 1B 45,70 03 00 00 4F 00 08 00 66 E9 B9 46 33 33 1B 45
881,80,8,24122.3,2457.3,8,77,10,71 03 00 00,9A 74 BC 46,CD 94 19 45,71 03 00 00 50 00 08 00 9A 74 BC 46 CD 94 19 45
882,81,8,24421.1,2453.3,9,82,11,72 03 00 00,33 CA BE 46,CD 54 19 45,72 03 00 00 51 00 08 00 33 CA BE 46 CD 54 19 45
883,82,8,24791.4,2634.6,8,77,9,73 03 00 00,CD AE C1 46,9A A9 24 45,73 03 00 00 52 00 08 00 CD AE C1 46 9A A9 24 45
884,83,8,25050.8,2654.5,6,67,5,74 03 00 00,9A B5 C3 46,00 E8 25 45,74 03 00 00 53 00 08 00 9A B5 C3 46 00 E8 25 45
885,84,8,25404.1,2657.7,9,82,2,75 03 00 00,33 78 C6 46,33 1B 26 45,75 03 00 00 54 00 08 00 33 78 C6 46 33 1B 26 45
886,85,8,25637.9,2565.4,7,72,7,76 03 00 00,CD 4B C8 46,66 56 20 45,76 03 00 00 55 00 08 00 CD 4B C8 46 66 56 20 45
887,86,8,25937.9,2585.4,10,87,11,77 03 00 00,CD A3 CA 46,66 96 21 45,77 03 00 00 56 00 08 00 CD A3 CA 46 66 96 21 45
888,87,8,26267.2,2546.5,9,82,8,78 03 00 00,66 36 CD 46,00 28 1F 45,78 03 00 00 57 00 08 00 66 36 CD 46 00 28 1F 45
889,88,8,26459.9,2593,9,82,11,79 03 00 00,CD B7 CE 46,00 10 22 45,79 03 00 00 58 00 08 00 CD B7 CE 46 00 10 22 45
890,89,8,26958.5,2612.9,9,82,3,7A 03 00 00,00 9D D2 46,66 4E 23 45,7A 03 00 00 59 00 08 00 00 9D D2 46 66 4E 23 45
891,90,8,27200.4,2603.7,10,87,7,7B 03 00 00,CD 80 D4 46,33 BB 22 45,7B 03 00 00 5A 00 08 00 CD 80 D4 46 33 BB 22 45
892,91,8,27548.3,2606.9,7,72,6,7C 03 00 00,9A 38 D7 46,66 EE 22 45,7C 03 00 00 5B 00 08 00 9A 38 D7 46 66 EE 22 45
893,92,8,27693.4,2544.2,9,82,7,7D 03 00 00,CD 5A D8 46,33 03 1F 45,7D 03 00 00 5C 00 08 00 CD 5A D8 46 33 03 1F 45
894,93,8,27997.6,2564.2,8,77,11,7E 03 00 00,33 BB DA 46,33 43 20 45,7E 03 00 00 5D 00 08 00 33 BB DA 46 33 43 20 45
895,94,8,28257,2584,6,67,7,7F 03 00 00,00 C2 DC 46,00 80 21 45,7F 03 00 00 5E 00 08 00 00 C2 DC 46 00 80 21 45
896,95,8,28545,2499,5,62,2,80 03 00 00,00 02 DF 46,00 30 1C 45,80 03 00 00 5F 00 08 00 00 02 DF 46 00 30 1C 45
897,96,8,28844.1,2495,7,72,9,81 03 00 00,33 58 E1 46,00 F0 1B 45,81 03 00 00 60 00 08 00 33 58 E1 46 00 F0 1B 45
898,97,8,29144.1,2515,10,87,0,82 03 00 00,33 B0 E3 46,00 30 1D 45,82 03 00 00 61 00 08 00 33 B0 E3 46 00 30 1D 45
899,98,8,29473.4,2476.1,9,82,10,83 03 00 00,CD 42 E6 46,9A C1 1A 45,83 03 00 00 62 00 08 00 CD 42 E6 46 9A C1 1A 45
900,99,8,29800,2479.3,8,77,9,84 03 00 00,00 D0 E8 46,CD F4 1A 45,84 03 00 00 63 00 08 00 00 D0 E8 46 CD F4 1A 45
901,0,9,200,2871.3,9,82,5,85 03 00 00,00 00 48 43,CD 74 33 45,85 03 00 00 00 00 09 00 00 00 48 43 CD 74 33 45
902,1,9,463.9,2763.5,6,67,0,86 03 00 00,33 F3 E7 43,00 B8 2C 45,86 03 00 00 01 00 09 00 33 F3 E7 43 00 B8 2C 45
903,2,9,810,2949.7,7,72,9,87 03 00 00,00 80 4A 44,33 5B 38 45,87 03 00 00 02 00 09 00 00 80 4A 44 33 5B 38 45
904,3,9,1022.6,2901.3,8,77,6,88 03 00 00,66 A6 7F 44,CD 54 35 45,88 03 00 00 03 00 09 00 66 A6 7F 44 CD 54 35 45
905,4,9,1417.8,2850.8,7,72,8,89 03 00 00,9A 39 B1 44,CD 2C 32 45,89 03 00 00 04 00 09 00 9A 39 B1 44 CD 2C 32 45
906,5,9,1684.8,2802.6,5,62,11,8A 03 00 00,9A 99 D2 44,9A 29 2F 45,8A 03 00 00 05 00 09 00 9A 99 D2 44 9A 29 2F 45
907,6,9,2045.1,2869.9,9,82,3,8B 03 00 00,33 A3 FF 44,66 5E 33 45,8B 03 00 00 06 00 09 00 33 A3 FF 44 66 5E 33 45
908,7,9,2213.3,2836.3,8,77,11,8C 03 00 00,CD 54 0A 45,CD 44 31 45,8C 03 00 00 07 00 09 00 CD 54 0A 45 CD 44 31 45
909,8,9,2578.6,2818.6,6,67,11,8D 03 00 00,9A 29 21 45,9A 29 30 45,8D 03 00 00 08 00 09 00 9A 29 21 45 9A 29 30 45
910,9,9,2746.9,2785,5,62,6,8E 03 00 00,66 AE 2B 45,00 10 2E 45,8E 03 00 00 09 00 09 00 66 AE 2B 45 00 10 2E 45
911,10,9,3191.7,2956.6,5,62,10,8F 03 00 00,33 7B 47 45,9A C9 38 45,8F 03 00 00 0A 00 09 00 33 7B 47 45 9A C9 38 45
912,11,9,3428.3,2790.4,8,77,8,90 03 00 00,CD 44 56 45,66 66 2E 45,90 03 00 00 0B 00 09 00 CD 44 56 45 66 66 2E 45
913,12,9,3785.8,2756.6,10,87,12,91 03 00 00,CD 9C 6C 45,9A 49 2C 45,91 03 00 00 0C 00 09 00 CD 9C 6C 45 9A 49 2C 45
914,13,9,3956.2,2928,6,67,10,92 03 00 00,33 43 77 45,00 00 37 45,92 03 00 00 0D 00 09 00 33 43 77 45 00 00 37 45
915,14,9,4267.5,2865.1,6,67,2,93 03 00 00,00 5C 85 45,9A 11 33 45,93 03 00 00 0E 00 09 00 00 5C 85 45 9A 11 33 45
916,15,9,4618.4,2829.3,10,87,2,94 03 00 00,33 53 90 45,CD D4 30 45,94 03 00 00 0F 00 09 00 33 53 90 45 CD D4 30 45
917,16,9,4844.6,2946,7,72,7,95 03 00 00,CD 64 97 45,00 20 38 45,95 03 00 00 10 00 09 00 CD 64 97 45 00 20 38 45
918,17,9,5292.7,2910.6,10,87,11,96 03 00 00,9A 65 A5 45,9A E9 35 45,96 03 00 00 11 00 09 00 9A 65 A5 45 9A E9 35 45
919,18,9,5505.3,2862.2,10,87,8,97 03 00 00,66 0A AC 45,33 E3 32 45,97 03 00 00 12 00 09 00 66 0A AC 45 33 E3 32 45
920,19,9,5823.5,2782.3,10,87,7,98 03 00 00,00 FC B5 45,CD E4 2D 45,98 03 00 00 13 00 09 00 00 FC B5 45 CD E4 2D 45
921,20,9,6167.5,2763.5,8,77,0,99 03 00 00,00 BC C0 45,00 B8 2C 45,99 03 00 00 14 00 09 00 00 BC C0 45 00 B8 2C 45
922,21,9,6425.7,2832.3,10,87,10,9A 03 00 00,9A CD C8 45,CD 04 31 45,9A 03 00 00 15 00 09 00 9A CD C8 45 CD 04 31 45
923,22,9,6759.5,2777.5,8,77,1,9B 03 00 00,00 3C D3 45,00 98 2D 45,9B 03 00 00 16 00 09 00 00 3C D3 45 00 98 2D 45
924,23,9,7087.1,2776.6,9,82,3,9C 03 00 00,CD 78 DD 45,9A 89 2D 45,9C 03 00 00 17 00 09 00 CD 78 DD 45 9A 89 2D 45
925,24,9,7356.2,2933.5,10,87,9,9D 03 00 00,9A E1 E5 45,00 58 37 45,9D 03 00 00 18 00 09 00 9A E1 E5 45 00 58 37 45
926,25,9,7700.2,2914.7,8,77,2,9E 03 00 00,9A A1 F0 45,33 2B 36 45,9E 03 00 00 19 00 09 00 9A A1 F0 45 33 2B 36 45
927,26,9,8007.5,2746.7,8,77,5,9F 03 00 00,00 3C FA 45,33 AB 2B 45,9F 03 00 00 1A 00 09 00 00 3C FA 45 33 AB 2B 45
928,27,9,8175.8,2933.1,7,72,0,A0 03 00 00,66 7E FF 45,9A 51 37 45,A0 03 00 00 1B 00 09 00 66 7E FF 45 9A 51 37 45
929,28,9,8591.3,2853.6,5,62,3,A1 03 00 00,33 3D 06 46,9A 59 32 45,A1 03 00 00 1C 00 09 00 33 3D 06 46 9A 59 32 45
930,29,9,8759.6,2820,5,62,11,A2 03 00 00,66 DE 08 46,00 40 30 45,A2 03 00 00 1D 00 09 00 66 DE 08 46 00 40 30 45
931,30,9,9133.9,2851.4,9,82,0,A3 03 00 00,9A B7 0E 46,66 36 32 45,A3 03 00 00 1E 00 09 00 9A B7 0E 46 66 36 32 45
932,31,9,9360.1,2748,6,67,5,A4 03 00 00,66 40 12 46,00 C0 2B 45,A4 03 00 00 1F 00 09 00 66 40 12 46 00 C0 2B 45
933,32,9,9706.2,2934.3,7,72,1,A5 03 00 00,CD A8 17 46,CD 64 37 45,A5 03 00 00 20 00 09 00 CD A8 17 46 CD 64 37 45
934,33,9,9998,2841.2,5,62,10,A6 03 00 00,00 38 1C 46,33 93 31 45,A6 03 00 00 21 00 09 00 00 38 1C 46 33 93 31 45
